# titre;groupes;users;steps;videos;comment;Musique
Chop Chop;i;pc;;https://www.youtube.com/watch?v=MKkW575i6qQ&t=3s|https://www.youtube.com/watch?v=MKkW575i6qQ;en contra (ntnr);Chop
City Of Music;ar;p;City%20Of%20Music.pdf;https://www.youtube.com/watch?v=HhnpCwDZgSY;(t1t2T3T7T7);City Of Music
Classic;;;Classic.pdf;https://www.youtube.com/watch?v=pXzUv-T5RgE;(r2, r5, r7);Classic - Cam
Clear Isabel;;pc;Clear_Isabel.pdf;https://www.youtube.com/watch?v=wxZDSyGgPv4;(r5)
Cold Heart;;p;Cold%20Heart.pdf;https://www.youtube.com/watch?v=XuyOwyNzMuE&t=207s;(ntnr)
Colors;;p;Colors.pdf;https://www.youtube.com/watch?v=IAz2TuQCULA;(ntnr)
Come And Get Your Love;;cp;Come%20And%20Get%20Your%20Love.pdf;https://www.youtube.com/watch?v=0CZFS_iLqek;
Come Back My Love;d;pc;;https://www.youtube.com/watch?v=EP27WhYZWcA;(r7 après 16 comptes)
Come In;;;;https://www.youtube.com/watch?v=oJulAcp6Qpo&t=39s;
Corn;;cp;Corn.pdf;https://www.youtube.com/watch?v=EzYvB0_JmTw&t=190s;(r4) départ step pied droit
Cotton Eyed Joe;;;;https://www.youtube.com/watch?v=q0MyqCBEIxE;en partner
Country Boy Lovin;;cp;;https://www.youtube.com/watch?v=2emr4w-VQPM;(ntnr)
Country Girl Shake;;pc;Country_Girl_Shake.pdf;https://www.youtube.com/watch?v=rkPJY0cVQpQ|https://www.youtube.com/watch?v=wwg_O0nu2kc;(ntnr)
Country In 3;a;p;Country%20In%203.pdf;https://www.youtube.com/watch?v=3mf2pUQUBwk;(ntnr)
Country Touch;nr;cp;Country_Touch.pdf;https://www.youtube.com/watch?v=AhEo2j18mt4;(r3,r8);Country Boys - James Johnston
Country Walking;i;cp;Country%20Walking.pdf;https://www.youtube.com/watch?v=Mz8BG-CsOSk;
Cowboy Charleston;;cp;Cowboy%20Charleston.pdf;https://www.youtube.com/watch?v=C9LCqZbDM-E&t=60s;(ntnr);Mama Take Me Home
Cowboys Don't Cry;;cp;Cowboys%20Don't%20Cry.pdf;https://www.youtube.com/watch?v=8j2Ro1KVFGw;(r5)
